Current	Proposed	Type
Red_Hat_Satellite_Maint-Remediation	satellite_618_configure	suggested
aap	aap	unchanged
aap_credentials	aap_credentials	unchanged
aap_inventories	aap_inventories	unchanged
aap_projects	aap_projects	unchanged
aap_templates	aap_templates	unchanged
aap_composite	aap_composite	unchanged
ansible_cmdb_setup	ansible_cmdb_setup	unchanged
ansibledev_node	ansibledev_node	unchanged
aws	aws_platform	automatic
azure	azure_platform	automatic
baremetal_provisioner	baremetal_provisioner	unchanged
cmdb	cmdb	unchanged
common_tasks	common_tasks	unchanged
configuration_manager	configuration_manager	unchanged
credential_manager	credential_manager	unchanged
deployment_setup	deployment_setup	unchanged
disk_integration	disk_integration	unchanged
disk_integration_with_snow	disk_integration_with_snow	unchanged
eda_configuration	eda_configuration	unchanged
env_config	env_config	unchanged
extend_disk_on_alert	extend_disk_on_alert	unchanged
extend_lvm_with_snow	extend_lvm_with_snow	unchanged
firewall_services	firewall_services	unchanged
idm_integration	idm_412_integration	automatic
infrastructure	infrastructure	unchanged
infrastructure_manager	infrastructure_manager	unchanged
infrastructure_prep	infrastructure_prep	unchanged
install_redhat_collections	install_redhat_collections	unchanged
integration	integration	unchanged
inventory_generator	inventory_generator	unchanged
legacy	legacy	unchanged
libvirt	libvirt_115_rhel_10_configure	suggested
libvirt_platform	libvirt_115_rhel_10_platform	automatic
libvirt_setup	libvirt_115_rhel_10_configure	automatic
libvirt_vm_provisioner	libvirt_115_create_<<product>>_vm	automatic
linux_other	linux_other	unchanged
network_infrastructure_config	network_infrastructure_config	unchanged
nutanix	nutanix	unchanged
openshift	openshift	unchanged
openshift_4_21_deployment	openshift_4_21_deployment	unchanged
orchestration	orchestration	unchanged
orchestration_master	orchestration_master	unchanged
os	os	unchanged
product_lifecycle	product_lifecycle	unchanged
prompts	prompts	unchanged
provisioning	provisioning	unchanged
redhat_products	redhat_products	unchanged
rhel	rhel_10_os_role	suggested
aap_controller	aap_controller	unchanged
aap_deploy	aap_deploy	unchanged
rhis_host_provisioning	rhis_host_provisioning	unchanged
rhis_inventory_integration	rhis_inventory_integration	unchanged
satellite	satellite_618_configure	suggested
satellite_6_18_deployment	satellite_618_install	automatic
satellite_activation_config	satellite_618_configure	suggested
satellite_build	satellite_618_install	automatic
satellite_content_config	satellite_618_configure_provisioning	suggested
satellite_kickstart_config	satellite_618_kickstart_setup	automatic
satellite_lifecycle_config	satellite_618_configure	suggested
satellite_mail_setup	satellite_618_configure	suggested
satellite_os_configuration	satellite_618_configure	automatic
satellite_pxe_services	satellite_618_configure_provisioning	suggested
servicenow	servicenow	unchanged
services_provisioning_stack	services_provisioning_stack	unchanged
start_eda	start_eda	unchanged
stop_eda	stop_eda	unchanged
support	support	unchanged
survey_loader	survey_loader	unchanged
tftp_boot_server	tftp_boot_server	unchanged
updates_and_patching	updates_and_patching	unchanged
vmware	vmware	unchanged
windows	windows	unchanged
